Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
39000,204000,10.6,-4.7,3,Blue,O
30000,28840,6.3,-4.2,3,Blue-white,B
15276,1136,7.2,-1.97,3,Blue-white,B
9700,74,2.89,0.16,3,Whitish,B
5800,0.81,0.9,5.05,3,yellow-white,F
8052,8.7,1.8,2.42,3,Whitish,A
6757,1.43,1.12,2.41,3,yellow-white,F
6380,1.35,0.98,2.93,3,yellow-white,F
5936,1.357,1.106,4.46,3,yellow-white,F
5587,0.819,0.99,5.03,3,yellow-white,F
5300,0.59,0.91,5.49,3,yellow-white,F
4526,0.153,0.865,6.506,3,yellowish,K
4077,0.085,0.795,6.228,3,yellowish,K
4980,0.357,1.13,4.78,3,Yellowish,K
9030,45,2.63,1.45,3,Blue-white,A
11250,672,6.98,-2.3,3,Blue-white,A
5112,0.63,0.876,4.68,3,Orange-Red,K
7720,7.92,1.34,2.44,3,yellow-white,F
12098,689,7.01,0.02,3,Blue-white,A
36108,198000,10.2,-4.4,3,Blue,O
29560,188000,6.02,-4.01,3,Blue-white,B
8945,38,2.487,0.12,3,Blue-White,A
14060,1092,5.745,-2.04,3,Blue-white,A
16390,1278,5.68,-3.32,3,Blue-white,B
25070,14500,5.92,-3.98,3,Blue-white,B
28700,16790,6.4,-4.09,3,Blue-white,B
26140,14520,5.49,-3.8,3,Blue-white,B
20120,4720,6.78,-3.4,3,Blue-white,B
13023,998,6.21,-1.38,3,Blue-white,A
37800,202900,6.86,-4.56,3,Blue,O
22350,12450,6.36,-3.67,3,Blue-white,B
10012,552,5.856,0.013,3,Blue-white,A
13089,788,5.992,-0.12,3,Blue-white,A
22012,6748,6.64,-2.55,3,Blue-white,B
34190,198200,6.39,-4.57,3,Blue,O
32460,173800,6.237,-4.36,3,Blue,O
9320,29,1.91,1.236,3,Blue-white,A
19400,10920,6.03,-3.08,3,Blue-white,B
17140,883,5.653,-2.64,3,Blue-white,B
8250,9.25,1.93,-0.98,3,yellow-white,F
